,DAY(date)_2,DAY(date)_3,DAY(date)_4,DAY(date)_5,DAY(date)_6,DAY(date)_7,DAY(date)_8,DAY(date)_9,DAY(date)_10,DAY(date)_11,DAY(date)_12,DAY(date)_13,DAY(date)_14,DAY(date)_15,DAY(date)_16,DAY(date)_17,DAY(date)_18,DAY(date)_19,DAY(date)_20,DAY(date)_21,DAY(date)_22,DAY(date)_23,DAY(date)_24,DAY(date)_25,DAY(date)_26,DAY(date)_27,DAY(date)_28,DAY(date)_29,DAY(date)_30,DAY(date)_31,MONTH(date)_2,MONTH(date)_3,MONTH(date)_4,MONTH(date)_5,MONTH(date)_6,MONTH(date)_7,MONTH(date)_8,MONTH(date)_9,MONTH(date)_10,MONTH(date)_11,MONTH(date)_12,WEEKDAY(date)_1,WEEKDAY(date)_2,WEEKDAY(date)_3,WEEKDAY(date)_4,WEEKDAY(date)_5,WEEKDAY(date)_6,YEAR(date)_1,YEAR(date)_2,YEAR(date)_3,HolidayCloseness_Distant,HolidayCloseness_Holiday,"sin(1,365)","cos(1,365)","sin(2,365)","cos(2,365)","sin(3,365)","cos(3,365)",0,1,2,3,4,5,6,num_sold
32142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.0,0.0,1.0,0.0,1.0,113.0,129.0,177.0,169.0,191.0,182.0,173.0,163
32143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017213356155834685,0.9998518392091162,0.03442161162274574,0.9994074007397048,0.051619667223253764,0.998666816288476,129.0,177.0,169.0,191.0,182.0,173.0,163.0,134
32144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.03442161162274574,0.9994074007397048,0.06880242680231986,0.9976303053065857,0.10310169744743485,0.9946708199115211,177.0,169.0,191.0,182.0,173.0,163.0,134.0,119
32145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.051619667223253764,0.998666816288476,0.10310169744743485,0.9946708199115211,0.15430882066428114,0.9880226656636976,169.0,191.0,182.0,173.0,163.0,134.0,119.0,114
32146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.06880242680231986,0.9976303053065857,0.13727877211326478,0.9905324521322229,0.2051044998686192,0.9787400799669153,191.0,182.0,173.0,163.0,134.0,119.0,114.0,115
32147,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.08596479873744647,0.9962981749346078,0.1712931441814776,0.9852201067560606,0.25535329511618704,0.9668478136052775,182.0,173.0,163.0,134.0,119.0,114.0,115.0,102
32148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.10310169744743485,0.9946708199115211,0.2051044998686192,0.9787400799669153,0.304921224656289,0.9523775757303975,173.0,163.0,134.0,119.0,114.0,115.0,102.0,109
32149,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1202080448993527,0.9927487224577402,0.2386727660059501,0.9711000518829505,0.35367612217637157,0.9353679493131483,163.0,134.0,119.0,114.0,115.0,102.0,109.0,113
32150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.13727877211326478,0.9905324521322229,0.2719581575341055,0.9623090774541486,0.401487989205973,0.9158642882672872,134.0,119.0,114.0,115.0,102.0,109.0,113.0,95
32151,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.15430882066428114,0.9880226656636976,0.304921224656289,0.9523775757303975,0.4482293417404106,0.893918596519257,119.0,114.0,115.0,102.0,109.0,113.0,95.0,86
